0x00 0x800 0xad9b => 0x800 0x4ec9
0x00 0x1000 0x9d93 => 0x1000 0x4ca4
0x00 0x2000 0x9949 => 0x2000 0x540e
0x00 0x0 0xd03b => 0x0 0x598f
0x00 0x0 0xb31f => 0x0 0x4d32
0x00 0x0 0x9a65 => 0x0 0x42ac
0x00 0x0 0x8559 => 0x0 0x39b3
0x00 0x0 0xe6cf => 0x0 0x6412
0x00 0x0 0xc825 => 0x0 0x56f3
0x00 0x0 0xade7 => 0x0 0x4bb3
0x04 0x0 0x9767 => 0x4542 0x4668
0x00 0x2100 0xb47f => 0x2100 0x613b
0x80 0x4200 0xc277 => 0xa6a2 0xa79a
0x00 0x5100 0xcd7f => 0x5100 0x873d
0x00 0x2200 0x8e7b => 0x2200 0x515b
0x00 0x800 0xc56f => 0x800 0x5adb
0x00 0x1000 0xb5b7 => 0x1000 0x589f
0x00 0x2000 0xb13f => 0x2000 0x5fc6
0x00 0x0 0xff1b => 0x0 0x703a
0x00 0x0 0xe075 => 0x0 0x62ef
0x00 0x0 0xc5df => 0x0 0x5761
0x00 0x0 0xaec3 => 0x0 0x4d52
0x00 0x0 0x9aa5 => 0x0 0x448c
0x00 0x0 0x8919 => 0x0 0x3ce2
0x00 0x0 0xf38b => 0x0 0x6c5c
0x5f(_) 0x0 0xd8b9 => 0x93cf 0x999a
0x5f(_) 0x3cf0 0x99af => 0x7c19 0x7eb6
0x67(g) 0x640 0xadbf => 0x8017 0x8055
0x63(c) 0x2e00 0xabff => 0x8836 0x8865
0x63(c) 0x6c00 0xcbff => 0xb0a1 0xb0e9
0x5f(_) 0x4200 0xd3ff => 0xa4d7 0xa924
0x65(e) 0x1ae0 0xa49f => 0x7e14 0x7ee3
0x78(x) 0x1400 0xe3ff => 0xb4e4 0xb5ce
0x63(c) 0x7200 0xe77f => 0xc5ae 0xc632
0x65(e) 0x2e00 0xb2ff => 0x8d8e 0x8e87
0x70(p) 0x4700 0xc3ff => 0xa427 0xa484
0x74(t) 0x2700 0x84ff => 0x6e53 0x6f01
0x5f(_) 0x2980 0x80ff => 0x6421 0x66cf
0x74(t) 0x840 0xb3ff => 0x8a70 0x8bf0
0x61(a) 0x3800 0xf87f => 0xbf0e 0xbf55
0x62(b) 0x1c00 0xabff => 0x814d 0x81ed
0x5f(_) 0x4d00 0xedff => 0xb841 0xbd64
0x5f(_) 0x820 0xac9f => 0x758d 0x7b08
0x54(T) 0x31a0 0xe11f => 0xa01b 0xa263
0x45(E) 0x6c0 0x98ff => 0x5d30 0x5eaa
0x58(X) 0x1800 0xd57f => 0x92c7 0x9424
0x54(T) 0x31c0 0x893f => 0x68b8 0x69fa
0x00 0x5c00 0xfd7f => 0x5c00 0xa1b5
0x00 0x3800 0xc36b => 0x3800 0x744a
0x00 0x7000 0xe895 => 0x7000 0xa43e
0x00 0x6000 0xc87d => 0x6000 0x8d5b
0x00 0x0 0xb56f => 0x0 0x4ee7
0x00 0x0 0x9dcf => 0x0 0x44c1
0x00 0x0 0x8983 => 0x0 0x3c06
0x00 0x0 0xf01b => 0x0 0x6900
0x00 0x0 0xd201 => 0x0 0x5c01
0x00 0x0 0xb803 => 0x0 0x50c3
0x94 0x0 0xa187 => 0x867e 0x86b8
0x1e 0x7c00 0xf1ff => 0xba2c 0xba56
0x00 0x3000 0xdbff => 0x3000 0x7b69
0x00 0x6000 0xf6d3 => 0x6000 0xa23f
0x01 0x4000 0xc47f => 0x7a4e 0x7bcc
0x00 0x2700 0xe67f => 0x2700 0x7b25
0x00 0x4e00 0xf64b => 0x4e00 0x9815
0x00 0x1c00 0xb02b => 0x1c00 0x5d57
0x98 0x3800 0xbaaf => 0xa5f9 0xa627
0x00 0x7200 0xcfff => 0x7200 0x9b77
0x00 0x4800 0xeddf => 0x4800 0x914e
0x00 0x1000 0xa29d => 0x1000 0x50e8
0x00 0x2000 0xa1d1 => 0x2000 0x5992
0x00 0x0 0xe64b => 0x0 0x6650
